reit_name,ticker,scan_date,cut_date,cut_magnitude_pct,pre_cut_monthly,post_cut_monthly,pre_cut_annual,post_cut_annual,recovery_level_pct,recovery_months,full_recovery,recovery_status,current_monthly,current_price,current_yield,current_annual_dividend,total_records,data_range_start,data_range_end
RioCan REIT,REI-UN.TO,2025-10-22,2021-01,33.3,0.12,0.08,1.44,0.96,80.4,,False,Partial Recovery (80%+),0.0965,18.97,6.02,1.142,119,2015-10-28,2025-09-29
First Capital REIT,FCR-UN.TO,2025-10-22,2019-12,66.7,0.215,0.0717,2.58,0.86,34.5,,False,Minimal Recovery (25-50%),0.0742,19.33,4.57,0.8835,86,2015-12-28,2025-09-29
First Capital REIT,FCR-UN.TO,2025-10-22,2021-01,49.8,0.0717,0.036,0.86,0.43,103.4,20,True,Fully Recovered,0.0742,19.33,4.57,0.8835,86,2015-12-28,2025-09-29
Summit Industrial Income REIT,SMU-UN.TO,2025-10-22,2018-05,29.1,0.043,0.0305,0.52,0.37,0.0,1,True,Fully Recovered,,,,,87,2015-10-28,2022-12-15
Summit Industrial Income REIT,SMU-UN.TO,2025-10-22,2019-10,21.7,0.0575,0.045,0.69,0.54,0.0,,False,No Significant Recovery (<25%),,,,,87,2015-10-28,2022-12-15
Summit Industrial Income REIT,SMU-UN.TO,2025-10-22,2022-12,100.0,0.0484,0.0,0.58,0.0,0,,False,Recent Cut - Recovery in Progress,,,,,87,2015-10-28,2022-12-15
WPT Industrial REIT,WIR-U.TO,2025-10-22,2021-09,100.0,0.0633,0.0,0.76,0.0,0,,False,Recent Cut - Recovery in Progress,,,,,71,2015-10-28,2021-09-15
Allied Properties REIT,AP-UN.TO,2025-10-22,2024-01,52.4,0.315,0.15,3.78,1.8,47.6,,False,Minimal Recovery (25-50%),0.15,18.45,9.76,1.8,121,2015-10-28,2025-09-29
Dream Office REIT,D-UN.TO,2025-10-22,2016-02,33.0,0.1867,0.125,2.24,1.5,44.6,88,True,Fully Recovered,0.0833,19.36,5.17,1.0,121,2015-10-28,2025-09-29
Dream Office REIT,D-UN.TO,2025-10-22,2017-07,33.3,0.125,0.0833,1.5,1.0,66.7,71,True,Fully Recovered,0.0833,19.36,5.17,1.0,121,2015-10-28,2025-09-29
Dream Office REIT,D-UN.TO,2025-10-22,2023-07,96.4,2.3166,0.0833,27.8,1.0,3.6,,False,No Significant Recovery (<25%),0.0833,19.36,5.17,1.0,121,2015-10-28,2025-09-29
Slate Office REIT,SOT-UN.TO,2025-10-22,2019-03,46.7,0.0625,0.0333,0.75,0.4,16.0,,False,No Significant Recovery (<25%),0.01,0.41,0.0,0.0,97,2015-10-28,2023-10-30
Slate Office REIT,SOT-UN.TO,2025-10-22,2023-04,70.0,0.0333,0.01,0.4,0.12,30.0,,False,Recent Cut - Recovery in Progress,0.01,0.41,0.0,0.0,97,2015-10-28,2023-10-30
Canadian Apartment Properties REIT,CAR-UN.TO,2025-10-22,2025-01,84.5,0.8075,0.125,9.69,1.5,16.0,,False,Recent Cut - Recovery in Progress,0.1292,39.3,7.69,3.0234,121,2015-10-28,2025-09-29
Boardwalk REIT,BEI-UN.TO,2025-10-22,2016-01,70.9,0.585,0.17,7.02,2.04,23.1,,False,No Significant Recovery (<25%),0.135,65.45,2.36,1.545,121,2015-10-28,2025-09-29
Boardwalk REIT,BEI-UN.TO,2025-10-22,2018-01,55.5,0.1875,0.0834,2.25,1.0,72.0,,False,Partial Recovery (50-80%),0.135,65.45,2.36,1.545,121,2015-10-28,2025-09-29
H&R REIT,HR-UN.TO,2025-10-22,2020-05,50.0,0.115,0.0575,1.38,0.69,43.5,31,True,Fully Recovered,0.05,11.72,6.14,0.72,123,2015-11-12,2025-09-29
H&R REIT,HR-UN.TO,2025-10-22,2022-01,62.3,0.0575,0.0216,0.69,0.26,87.0,11,True,Fully Recovered,0.05,11.72,6.14,0.72,123,2015-11-12,2025-09-29
H&R REIT,HR-UN.TO,2025-10-22,2023-01,77.6,0.2229,0.05,2.67,0.6,22.4,,False,No Significant Recovery (<25%),0.05,11.72,6.14,0.72,123,2015-11-12,2025-09-29
H&R REIT,HR-UN.TO,2025-10-22,2024-01,33.3,0.075,0.05,0.9,0.6,66.7,11,True,Fully Recovered,0.05,11.72,6.14,0.72,123,2015-11-12,2025-09-29
H&R REIT,HR-UN.TO,2025-10-22,2025-01,41.2,0.085,0.05,1.02,0.6,58.8,,False,Recent Cut - Recovery in Progress,0.05,11.72,6.14,0.72,123,2015-11-12,2025-09-29
Artis REIT,AX-UN.TO,2025-10-22,2018-11,50.0,0.09,0.045,1.08,0.54,55.6,49,True,Fully Recovered,0.05,6.02,9.97,0.6,120,2015-10-28,2025-09-29
Artis REIT,AX-UN.TO,2025-10-22,2023-01,52.4,0.105,0.05,1.26,0.6,47.6,,False,Minimal Recovery (25-50%),0.05,6.02,9.97,0.6,120,2015-10-28,2025-09-29
BSR REIT,HOM-U.TO,2025-10-22,2018-07,29.4,0.0591,0.0417,0.71,0.5,79.0,,False,Partial Recovery (50-80%),0.0467,11.99,3.51,0.4203,85,2018-06-28,2025-06-30
European Residential REIT,ERE-UN.TO,2025-10-22,2017-12,39.2,0.1439,0.0875,1.73,1.05,1014.6,5,True,Fully Recovered,1.46,1.04,293.92,3.0568,84,2017-09-28,2025-09-26
European Residential REIT,ERE-UN.TO,2025-10-22,2019-06,92.3,0.5,0.0386,6.0,0.46,292.0,67,True,Fully Recovered,1.46,1.04,293.92,3.0568,84,2017-09-28,2025-09-26
European Residential REIT,ERE-UN.TO,2025-10-22,2019-07,66.5,0.0386,0.0129,0.46,0.16,3782.4,66,True,Fully Recovered,1.46,1.04,293.92,3.0568,84,2017-09-28,2025-09-26
European Residential REIT,ERE-UN.TO,2025-10-22,2025-02,99.0,0.7487,0.0078,8.98,0.09,195.0,7,True,Fully Recovered,1.46,1.04,293.92,3.0568,84,2017-09-28,2025-09-26
NorthWest Healthcare Properties REIT,NWH-UN.TO,2025-10-22,2023-09,55.0,0.0667,0.03,0.8,0.36,45.0,,False,Minimal Recovery (25-50%),0.03,5.01,7.19,0.36,119,2015-10-28,2025-09-29
